k40_counts,k40_sd,Year,DOY
648.94425,6.36859604818833,2021,217
658.229875,6.41399775393631,2021,231
530.65375,5.75898075834605,2021,246
605.967125,6.15409987833314,2021,260
572.550733333333,6.17819139302829,2021,288
558.2709375,5.90693944388716,2021,302
573.4125,5.98650826859865,2021,316
609.2551875,6.17077379416472,2021,337
566.4299375,5.94994715050058,2022,84
594.7985,6.09712278455994,2022,105
561.8459375,5.92582239809379,2022,138
561.699,5.92504746816428,2022,147
651.5756875,6.3814951593455,2022,215
602.2168125,6.13502655098167,2022,229
621.90175,6.23448950396101,2022,243
612.686875,6.18812812468359,2022,260
668.2345625,6.46255832904044,2022,278
649.2785,6.37023596501731,2022,295
607.6431875,6.1626049052937,2023,135
634.0966875,6.29531913160485,2023,159
652.717,6.38708168884664,2023,172
585.083,6.0471222494671,2023,191
521.8641875,5.71108673710617,2023,205
528.9881875,5.74993580127205,2023,221
587.54325,6.05982286251009,2023,240
653.8514375,6.39262972834732,2023,264
613.3794375,6.19162457225485,2023,296
